,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min
12,10951191,27,25,6532,6330,1460.0,0.0,241.92592592592595,432.5046843611084,3175.0,0.0,253.2,648.2930150274128,214729.23529411765,1121460.721699081,7647780.0,30.0,10951191.0,421199.6538461539,1557426.6475366328,7647780.0,159.0,10950818.0,456284.08333333326,1668836.270044512,7840323.0,188.0,0,0,0,0,548,508,0.0,3175.0,242.67924528301887,537.3019410974724,288693.3759071117,1,2,0,38,51,0,0,0,0.0,247.34615384615384,241.92592592592592,253.2,0,0,0,4287,13,35743,0,125,0,121,64240,24820,21,20
1860,147862986,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29572597.2,56060933.76737548,129826312.0,3009143.0,147862986.0,29572597.2,56060933.76737548,129826312.0,3009143.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2018,155047986,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31009597.2,59297426.44368246,137049207.0,2950714.0,155047986.0,31009597.2,59297426.44368246,137049207.0,2950714.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2105,155975138,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31195027.6,59762628.77510376,138065973.0,2879433.0,155975138.0,31195027.6,59762628.77510376,138065973.0,2879433.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2202,155956173,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31191234.6,59772691.85703881,138079968.0,2841781.0,155956173.0,31191234.6,59772691.85703881,138079968.0,2841781.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2210,155911374,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31182274.8,59775434.07777192,138076750.0,2857035.0,155911374.0,31182274.8,59775434.07777192,138076750.0,2857035.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2322,155928591,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31185718.2,59786693.818858325,138100782.0,2838632.0,155928591.0,31185718.2,59786693.818858325,138100782.0,2838632.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2446,156047294,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31209458.8,59810390.23012926,138165617.0,2846459.0,156047294.0,31209458.8,59810390.23012926,138165617.0,2846459.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2502,156064754,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31212950.8,59745346.23373508,138054208.0,2963859.0,156064754.0,31212950.8,59745346.23373508,138054208.0,2963859.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2589,156097900,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31219580.0,59800291.94517401,138158354.0,2897027.0,156097900.0,31219580.0,59800291.94517401,138158354.0,2897027.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2627,156175322,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31235064.4,59845620.17461797,138254725.0,2874765.0,156175322.0,31235064.4,59845620.17461797,138254725.0,2874765.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
2703,156207454,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31241490.8,59784847.94398446,138153949.0,3007346.0,156207454.0,31241490.8,59784847.94398446,138153949.0,3007346.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3091,156074252,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31214850.4,59804127.25252558,138162394.0,2970603.0,156074252.0,31214850.4,59804127.25252558,138162394.0,2970603.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
3111,156074523,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31214904.6,59819582.87467181,138190508.0,2947744.0,156074523.0,31214904.6,59819582.87467181,138190508.0,2947744.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,28
