,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,FlowTerminationReason,FlowType,HostType,Predicted Probability,Predicted Type
1552,147.32.84.180-212.117.171.138-1445-65500-6,147.32.84.180,1445,212.117.171.138,65500,TCP,11/08/2011 11:42:06 AM,273832507,7,5,12.0,32.0,10.0,0.0,1.7142857142857144,3.728908942943218,27.0,0.0,6.4,11.631852818876276,0.1606821647365628,0.0438224085645171,24893864.27272727,74963181.08902209,249920514.0,107.0,273832507.0,45638751.16666667,100567965.11627544,250031344.0,246.0,250138360.0,62534589.99999999,124924029.17801017,249920621.0,21710.0,0,0,0,0,148,108,0.025563071662635,0.0182593369018821,0.0,27.0,3.384615384615385,7.643498997388364,58.42307692307693,1,2,0,5,11,0,0,0,0.0,3.6666666666666665,1.7142857142857142,6.4,0,0,0,34,4,156,0,1,0,2,64240,5840,2,20,216859.5,274919.58099142375,411257.0,22462.0,TCP_FIN,Neris,INFECTED,0.99131525,MALICIOUS
1989,147.32.84.180-212.117.171.138-3866-65500-6,147.32.84.180,3866,212.117.171.138,65500,TCP,11/08/2011 11:48:45 AM,231726551,8,5,12.0,32.0,10.0,0.0,1.5,3.505098327538656,27.0,0.0,6.4,11.631852818876276,0.1898789750683338,0.0561006062701895,19310545.916666664,57254227.60141526,199732768.0,230.0,231726551.0,33103793.0,74074621.61038086,199883022.0,11747.0,207224167.0,51806041.75,98676381.99104647,199732998.0,21192.0,0,0,0,0,168,108,0.0345234500124243,0.0215771562577652,0.0,27.0,3.142857142857143,7.399138649008596,54.74725274725275,1,2,0,5,12,0,0,0,0.0,3.3846153846153846,1.5,6.4,0,0,0,0,0,0,0,0,0,2,64240,5840,2,20,201099.66666666663,166214.03877631194,351402.0,22585.0,TCP_FIN,Neris,INFECTED,0.9874893,MALICIOUS
2428,147.32.84.180-212.117.171.138-1401-65500-6,147.32.84.180,1401,212.117.171.138,65500,TCP,11/08/2011 11:57:15 AM,119118147,15,15,4484.0,3370.0,1460.0,0.0,298.93333333333334,555.9687127202478,2901.0,0.0,224.66666666666669,745.5439688736067,65.93453808511646,0.2518507948247381,4107522.310344828,20081880.17019109,108298542.0,14.0,118937400.0,8495528.571428569,28823748.33587142,108435041.0,83.0,119095548.0,8506824.857142858,28785015.519762848,108298744.0,14.0,0,0,0,0,308,308,0.125925397412369,0.125925397412369,0.0,2901.0,253.35483870967744,638.1434816918578,407227.1032258065,1,2,0,11,29,0,0,0,1.0,261.8,298.93333333333334,224.66666666666663,0,0,0,7838,9,5298,0,149,0,112,64240,17520,7,20,179992.5,222302.3511897704,337184.0,22801.0,TCP_FIN,Neris,INFECTED,0.98396045,MALICIOUS
2662,147.32.84.180-212.117.171.138-1626-65500-6,147.32.84.180,1626,212.117.171.138,65500,TCP,11/08/2011 11:59:12 AM,212243333,8,5,12.0,34.0,10.0,0.0,1.5,3.505098327538656,29.0,0.0,6.8,12.517987058628874,0.2167323672777038,0.0612504516219597,17686944.416666664,53922563.539200775,187568141.0,245.0,212243333.0,30320476.14285714,69961161.01932596,187740535.0,245.0,188465569.0,47116392.25,93635093.2892027,187568407.0,21245.0,0,0,0,0,168,108,0.0376925856135137,0.023557866008446,0.0,29.0,3.2857142857142856,7.897697536220692,62.37362637362638,1,2,0,5,12,0,0,0,0.0,3.5384615384615383,1.5,6.8,0,0,0,36,4,40,0,0,0,2,64240,5840,2,20,548979.0,744526.8720469396,1075439.0,22519.0,TCP_FIN,Neris,INFECTED,0.9855805,MALICIOUS
2757,147.32.84.180-173.192.170.88-2218-80-6,147.32.84.180,2218,173.192.170.88,80,TCP,11/08/2011 12:03:41 PM,38025593,6,4,187.0,261.0,187.0,0.0,31.166666666666664,76.34243031674238,261.0,0.0,65.25,130.5,11.781538817816726,0.262980777183409,4225065.888888889,7655201.316392902,23695251.0,295.0,33208129.0,6641625.8,10049102.525082212,24078260.0,346.0,28896365.0,9632121.666666666,12413056.173267296,23695251.0,201545.0,0,0,0,0,144,84,0.1577884663100454,0.1051923108733636,0.0,261.0,40.72727272727273,92.1109015362361,8484.418181818182,1,4,0,2,7,0,0,0,0.0,44.8,31.166666666666668,65.25,0,0,0,0,0,0,0,18,0,26,64240,6432,1,20,1656060.0,1772967.016235215,2909737.0,402383.0,TCP_FIN,Neris,INFECTED,0.9954111,MALICIOUS
2862,147.32.84.180-173.192.170.88-2479-80-6,147.32.84.180,2479,173.192.170.88,80,TCP,11/08/2011 12:05:16 PM,46010618,8,6,561.0,261.0,187.0,0.0,70.125,96.7816946977652,261.0,0.0,43.5,106.55280381106824,17.865441407459468,0.3042775908813048,3539278.307692308,7934515.803153045,29110564.0,210.0,41137207.0,5876743.857142857,10496591.893317714,29240839.0,266.0,45810043.0,9162008.6,12263159.623362582,30726039.0,65157.0,0,0,0,0,168,144,0.1738729090750313,0.1304046818062735,0.0,261.0,54.8,95.61171476341173,9141.6,1,4,0,4,13,0,0,0,0.0,58.71428571428572,70.125,43.5,0,0,0,0,0,0,0,40,0,18,64240,6432,3,20,3015933.5,1696990.5139170636,4215887.0,1815980.0,TCP_FIN,Neris,INFECTED,0.9938403,MALICIOUS
3238,147.32.84.180-184.154.89.154-4898-8735-6,147.32.84.180,4898,184.154.89.154,8735,TCP,11/08/2011 12:01:31 PM,607815582,649,651,25.0,6909.0,5.0,0.0,0.0385208012326656,0.4375101056490421,80.0,0.0,10.612903225806452,8.033626598712653,11.40806554709221,2.1388066355955977,467910.3787528876,4437245.376433004,158342850.0,103.0,607815582.0,937987.0092592596,6272049.855543572,158526811.0,134966.0,607514145.0,934637.1461538456,6259623.641565484,158509409.0,134186.0,0,0,0,0,12988,13028,1.0677580819242638,1.071048553671334,0.0,80.0,5.329746348962339,7.767958786247675,60.34118370484245,0,2,0,652,1299,0,0,0,1.0,5.333846153846154,0.0385208012326656,10.612903225806452,0,0,0,87,8,27,0,0,0,5,64240,64215,5,20,129648947.0,181946624.5028957,258304639.0,993255.0,IDLE_TIMEOUT,Neris,INFECTED,0.97390693,MALICIOUS
3251,147.32.84.180-212.117.171.138-2971-65500-6,147.32.84.180,2971,212.117.171.138,65500,TCP,11/08/2011 12:08:49 PM,206732210,8,5,12.0,33.0,10.0,0.0,1.5,3.505098327538656,28.0,0.0,6.6,12.074767078498864,0.217672901576392,0.0628832826776243,17227684.166666668,50184923.29304784,174128639.0,233.0,206732210.0,29533172.85714286,64830784.428485945,174296080.0,249.0,175873965.0,43968491.25,86776233.44249706,174128872.0,20298.0,0,0,0,0,168,108,0.0386974047246919,0.0241858779529324,0.0,28.0,3.2142857142857144,7.647810862528636,58.48901098901099,1,2,0,5,12,0,0,0,0.0,3.4615384615384617,1.5,6.6,0,0,0,0,0,0,0,0,0,2,64240,5840,2,20,950163.5,1305209.5165192827,1873086.0,27241.0,TCP_FIN,Neris,INFECTED,0.9820354,MALICIOUS
3256,147.32.84.180-173.192.170.88-3914-80-6,147.32.84.180,3914,173.192.170.88,80,TCP,11/08/2011 12:12:05 PM,15707113,6,4,186.0,1902.0,186.0,0.0,31.000000000000004,75.93418202627852,1902.0,0.0,475.5,951.0,132.93340412079547,0.6366542342949975,1745234.7777777778,2353609.3393367017,6019523.0,265.0,10705055.0,2141011.0,2467177.1135153635,6019523.0,265.0,6560117.0,2186705.666666667,2504465.600749257,5002328.0,207448.0,0,0,0,0,144,88,0.3819925405769984,0.2546616937179989,0.0,1902.0,189.8181818181818,570.601405217656,325585.9636363636,1,4,0,2,7,0,0,0,0.0,208.8,31.0,475.5,0,0,0,0,0,0,0,18,0,190,64240,6432,1,20,2342766.0,826085.9824025584,2926897.0,1758635.0,TCP_FIN,Neris,INFECTED,0.90310526,MALICIOUS
3440,173.236.31.226-147.32.84.180-7212-2611-6,173.236.31.226,7212,147.32.84.180,2611,TCP,11/08/2011 12:05:19 PM,609054151,748,747,7127.0,30.0,43.0,0.0,9.528074866310163,6.125900248329755,5.0,0.0,0.0401606425702811,0.4466064786963211,11.751007670252294,2.4546257464059216,407666.76773761655,552790.1309449009,5309843.0,15.0,608870774.0,815088.0508701472,691537.7996593144,5462474.0,145912.0,608931566.0,816262.1528150138,694436.1384582286,5420650.0,9602.0,1,0,0,0,14960,14940,1.2281338182686483,1.2264919281372733,0.0,43.0,4.787433155080207,6.430820632618103,41.35545400890669,0,0,0,753,1495,0,0,0,0.0,4.7906354515050165,9.52807486631016,0.0401606425702811,0,0,0,55,5,24,0,4,0,0,64185,63366,746,20,124127372.5,174967799.4777428,247848290.0,406455.0,IDLE_TIMEOUT,Neris,INFECTED,0.9624957,MALICIOUS
